parameter,value,num_windows,avg_utility,top_sat_id,top_sat_match,rank_correlation
ELEV_MIN_DEG,5.0,35,266.5691442908708,STARLINK-30870,1,0.5910364145658263
ELEV_MIN_DEG,15.0,503,252.68250878457795,STARLINK-5762,0,0.9504348889396839
ELEV_MIN_DEG,20.0,496,226.7459710403606,STARLINK-30778,0,0.9392791093475827
MAX_GROUND_DISTANCE_KM,200.0,326,267.96174277320085,STARLINK-6030,0,1.0
MAX_GROUND_DISTANCE_KM,400.0,484,271.4739796741142,STARLINK-30870,1,1.0
MAX_GROUND_DISTANCE_KM,500.0,487,271.2738340550762,STARLINK-30870,1,1.0
MIN_VISIBLE_SECONDS,120.0,457,270.34514017029653,STARLINK-30870,1,1.0
MIN_VISIBLE_SECONDS,240.0,449,272.2037611651034,STARLINK-30870,1,1.0
MIN_VISIBLE_SECONDS,300.0,442,273.4553646334851,STARLINK-30870,1,1.0
MIN_AVG_ELEV_DEG,12.0,515,266.8463251323552,STARLINK-30870,1,1.0
MIN_AVG_ELEV_DEG,24.0,509,268.02014857258536,STARLINK-30870,1,1.0
MIN_AVG_ELEV_DEG,30.0,456,270.65869719577734,STARLINK-30870,1,1.0
ALPHA_GEO,0.0005,456,292.5635601284826,STARLINK-30870,1,0.9881033166994242
ALPHA_GEO,0.001,456,270.65869719577734,STARLINK-30870,1,1.0
ALPHA_GEO,0.002,456,233.9603053928877,STARLINK-5382,0,0.9766795797775875
ALPHA_BEAM,0.001,456,270.65869719577734,STARLINK-30870,1,1.0
ALPHA_BEAM,0.002,456,270.65869719577734,STARLINK-30870,1,1.0
ALPHA_BEAM,0.004,456,270.65869719577734,STARLINK-30870,1,1.0
ALPHA_RAIN,0.003,456,302.4026142489036,STARLINK-30231,0,0.9847210603516029
ALPHA_RAIN,0.005,456,270.65869719577734,STARLINK-30870,1,1.0
ALPHA_RAIN,0.008,456,230.86206120267073,STARLINK-5382,0,0.9606001622470586
LAMBDA_RISK,0.3,456,294.0087172155079,STARLINK-30231,0,0.9924052683467631
LAMBDA_RISK,0.6,456,270.65869719577734,STARLINK-30870,1,1.0
LAMBDA_RISK,1.0,456,239.5253371694699,STARLINK-5382,0,0.9815869837866845
OMEGA_TH,0.4,456,270.65869719577734,STARLINK-30870,1,1.0
OMEGA_TH,1.2,456,270.65869719577734,STARLINK-30870,1,1.0
OMEGA_TH,1.6,456,270.65869719577734,STARLINK-30870,1,1.0
